,City,Year,Month,AQI,Range,Air Quality level,PM2.5,PM10,SO2,CO,NO2,O3
0,阿坝州,2014,12,53,53~53,良,33,55,3,1,23,69
1,阿坝州,2015,01,32,24~38,优,20,27,4,0.545,14,53
2,阿坝州,2015,02,32,23~53,优,16,30,9,0.311,9,52
3,阿坝州,2015,03,33,27~57,优,14,28,8,0.34,7,61
4,阿坝州,2015,04,40,33~53,优,16,34,7,0.437,7,76
5,阿坝州,2015,05,37,28~54,优,17,29,9,0.313,11,72
6,阿坝州,2015,06,35,21~49,优,22,28,11,0.39,9,58
7,阿坝州,2015,07,42,25~62,优,19,29,6,0.371,8,78
8,阿坝州,2015,08,44,35~65,优,26,39,5,0.407,8,70
9,阿坝州,2015,09,44,29~53,优,27,41,5,0.521,6,55
10,阿坝州,2015,10,39,29~78,优,19,37,7,0.38,11,67
11,阿坝州,2015,11,37,29~50,优,15,31,8,0.314,16,69
12,阿坝州,2015,12,43,32~52,优,19,41,6,0.371,18,66
13,阿坝州,2016,01,41,32~58,优,23,38,8,0.71,18,74
14,阿坝州,2016,02,49,35~73,优,22,42,8,1.024,12,88
15,阿坝州,2016,03,53,35~62,良,21,39,6,0.819,14,100
16,阿坝州,2016,04,62,46~87,良,19,37,8,0.6,12,113
17,阿坝州,2016,05,58,43~82,良,17,33,7,0.671,11,108
18,阿坝州,2016,06,53,26~95,良,18,31,6,0.567,10,97
19,阿坝州,2016,07,46,25~77,优,15,26,8,0.552,9,86
20,阿坝州,2016,08,50,24~70,优,16,31,13,0.874,11,94
21,阿坝州,2016,09,35,22~60,优,11,22,12,0.773,10,65
22,阿坝州,2016,10,36,20~47,优,15,31,12,0.442,13,64
23,阿坝州,2016,11,47,29~58,优,22,48,14,0.533,17,62
24,阿坝州,2016,12,50,32~78,良,26,53,15,0.726,20,62
25,阿坝州,2017,01,42,34~50,优,14,26,11,0.655,14,84
26,阿坝州,2017,02,47,41~57,优,14,27,7,0.529,7,94
27,阿坝州,2017,03,63,48~82,良,15,30,7,0.487,8,115
28,阿坝州,2017,04,56,41~72,良,13,27,8,0.503,8,106
